TYPE;LCB  ;LSM  ; LBM;LP  ;LM  ;LAM
BULL-DOG 1;1290;640;950;175;112;138
BULL-DOG 2;1540;740;760;200;142;165
BOXER;1580;710;710;167;125;133
SAINT-BERNARD;2200;1110;880;225;154;180
BULL-MASSIF;1900;930;780;197;132;140
DOGUE ALLEMAND 1;2410;1190;870;210;147;183
DOGUE ALLEMAND 2;2420;1200;850;199;153;176
DOGUE ALLEMAND 3;2550;1260;860;214;150;180
DOGUE ALLEMAND 4;2340;1130;830;213;148;170
SETTER 1;2010;1050;700;198;143;159
SETTER 2;1960;1060;670;185;126;142
SETTER 3;2200;1170;700;198;143;156
GROENDAL;2050;1050;700;190;124;149
BAS-ROUGE;2160;1120;750;196;140;164
BRIARD 1;2280;1220;780;225;142;178
BRIARD 2;2120;1110;730;205;137;166
CHIEN DES PYRENEES;2160;1130;720;205;144;177
BERGER ALLEMAND 1;2030;1090;650;207;140;168
BERGER ALLEMAND 2;2050;1100;680;208;141;164
BERGER ALLEMAND 3;1860;970;620;190;132;142
DOBERMAN;2120;1120;650;197;142;160
LEVRIER 1;2180;1120;650;203;139;170
LEVRIER 2;1780;970;570;173;128;143
LEVRIER 3;2120;1140;650;205;143;155
LEVRIER 4;2210;1230;620;212;152;170
COLLEY;1830;970;520;193;129;135
CHIEN IND 1;1700;870;710;179;123;159
CHIEN IND 2;1880;940;730;195;133;148
CHIEN IND 3;1610;810;550;171;121;130
CHIEN IND 4;1640;900;580;175;127;147
LOUP 1;1990;1050;730;234;150;191
LOUP 2;2270;1170;770;250;153;186
LOUP 3;2280;1220;820;247;150;185
LOUP 4;2320;1230;830;253;168;155
LOUP 5;2310;1210;780;235;165;196
LOUP 6;2150;1180;740;257;157;190
LOUP 7;1840;1000;690;233;158;197
LOUP 8;1750;940;730;222;148;170
LOUP 9;2390;1240;770;250;168;270
LOUP 10;2030;1090;700;233;150;187
LOUP 11;2260;1180;720;260;160;194
LOUP 12;2260;1190;770;265;168;193
